Epoch 000, Loss: 0.800280698116291, Neurons: 11
Epoch 000, Loss: 0.800280698116291, Neurons: 11
Epoch 001, Loss: 0.7516523674310822, Neurons: 11
Epoch 001, Loss: 0.7516523674310822, Neurons: 11
Epoch 002, Loss: 0.7059578771150312, Neurons: 11
Epoch 002, Loss: 0.7059578771150312, Neurons: 11
Epoch 003, Loss: 0.6633610382155511, Neurons: 11
Epoch 003, Loss: 0.6633610382155511, Neurons: 11
Epoch 004, Loss: 0.6240466101954848, Neurons: 11
Epoch 004, Loss: 0.6240466101954848, Neurons: 11
Epoch 005, Loss: 0.5882168564715944, Neurons: 11
Epoch 005, Loss: 0.5882168564715944, Neurons: 11
Epoch 006, Loss: 0.5561838428239797, Neurons: 11
Epoch 006, Loss: 0.5561838428239797, Neurons: 11
Epoch 007, Loss: 0.5278062516620872, Neurons: 11
Epoch 007, Loss: 0.5278062516620872, Neurons: 11
Epoch 008, Loss: 0.502836275456496, Neurons: 11
Epoch 008, Loss: 0.502836275456496, Neurons: 11
Epoch 009, Loss: 0.4812845742361461, Neurons: 11
Epoch 009, Loss: 0.4812845742361461, Neurons: 11
Added neuron to hidden layer 2 with activation relu
Added neuron to hidden layer 2 with activation relu
network shape updated to :[5, 6, 1]
network shape updated to :[5, 6, 1]
Epoch 010, Loss: 0.5594178498588926, Neurons: 12
Epoch 010, Loss: 0.5594178498588926, Neurons: 12
Epoch 011, Loss: 0.5089471956125159, Neurons: 12
Epoch 011, Loss: 0.5089471956125159, Neurons: 12
Epoch 012, Loss: 0.46769501701750404, Neurons: 12
Epoch 012, Loss: 0.46769501701750404, Neurons: 12
Epoch 013, Loss: 0.4349370717089732, Neurons: 12
Epoch 013, Loss: 0.4349370717089732, Neurons: 12
Epoch 014, Loss: 0.40987044071267326, Neurons: 12
Epoch 014, Loss: 0.40987044071267326, Neurons: 12
Epoch 015, Loss: 0.3918695935254832, Neurons: 12
Epoch 015, Loss: 0.3918695935254832, Neurons: 12
Epoch 016, Loss: 0.37992536279703476, Neurons: 12
Epoch 016, Loss: 0.37992536279703476, Neurons: 12
Epoch 017, Loss: 0.372691398338041, Neurons: 12
Epoch 017, Loss: 0.372691398338041, Neurons: 12
Epoch 018, Loss: 0.36858782783392063, Neurons: 12
Epoch 018, Loss: 0.36858782783392063, Neurons: 12
Epoch 019, Loss: 0.36607035238044056, Neurons: 12
Epoch 019, Loss: 0.36607035238044056, Neurons: 12
Added neuron to hidden layer 1 with activation relu
Added neuron to hidden layer 1 with activation relu
network shape updated to :[6, 6, 1]
network shape updated to :[6, 6, 1]
Epoch 020, Loss: 0.363654288925876, Neurons: 13
Epoch 020, Loss: 0.363654288925876, Neurons: 13
Epoch 021, Loss: 0.3497559274754532, Neurons: 13
Epoch 021, Loss: 0.3497559274754532, Neurons: 13
Epoch 022, Loss: 0.33773684426909584, Neurons: 13
Epoch 022, Loss: 0.33773684426909584, Neurons: 13
Epoch 023, Loss: 0.32519493778312425, Neurons: 13
Epoch 023, Loss: 0.32519493778312425, Neurons: 13
Epoch 024, Loss: 0.3118264823653797, Neurons: 13
Epoch 024, Loss: 0.3118264823653797, Neurons: 13
Epoch 025, Loss: 0.2975414526840364, Neurons: 13
Epoch 025, Loss: 0.2975414526840364, Neurons: 13
Epoch 026, Loss: 0.2821947125463679, Neurons: 13
Epoch 026, Loss: 0.2821947125463679, Neurons: 13
Epoch 027, Loss: 0.26564838110158073, Neurons: 13
Epoch 027, Loss: 0.26564838110158073, Neurons: 13
Epoch 028, Loss: 0.24779009998257265, Neurons: 13
Epoch 028, Loss: 0.24779009998257265, Neurons: 13
Epoch 029, Loss: 0.22863384729843558, Neurons: 13
Epoch 029, Loss: 0.22863384729843558, Neurons: 13
Added neuron to hidden layer 2 with activation relu
Added neuron to hidden layer 2 with activation relu
network shape updated to :[6, 7, 1]
network shape updated to :[6, 7, 1]
Epoch 030, Loss: 0.20842163905811495, Neurons: 14
Epoch 030, Loss: 0.20842163905811495, Neurons: 14
Epoch 031, Loss: 0.19405251846440844, Neurons: 14
